id,date,blood_service,text_char,retweet,followers,friends,tweet
1,6/10/19,GiveBloodNHS,108,1,70,179,@misschanellesp @givebloodnhs i donated a lovely bag of ro last month :) 
2,6/10/19,GiveBloodNHS,140,0,405,331,donation number 96 and 97 in the bag. literally. thanks to tammi and sam for looking after me. @givebloodnhs #blooddonor #savealife #itonlytakesanhour #leedsblooddonation 
3,6/10/19,GiveBloodNHS,140,5,2724,913,"proud to show off my ro blood subtype, especially during black history month 🖤 this subtype is carried by only 2% of blood doners and is so important for people with sickle cell disease who may need regular transfusions. (1/2) @givebloodnhs "
4,6/10/19,GiveBloodNHS,140,1,643,878,another donation in the bag boom!! staffs are ever so friendly and welcoming... easy peasy... @givebloodnhs #giveblood #savelife 
5,6/10/19,GiveBloodNHS,139,3,170,360,today i gave blood @givebloodnhs and was told i have special neo blood which means my donations go to babies. very apt as this was my first donation since my son has been born. time to book my next appointment in for dec! 
6,6/10/19,GiveBloodNHS,140,2,137,585,it makes one feel good when receiving these text updates from @givebloodnhs following a donation. so easy to book an appointment and donate regularly using the app. #giveblood @amya_humanity 
7,6/10/19,GiveBloodNHS,105,1,65,396,donation #38 done @givebloodnhs  ... only for the mint club of course 
8,6/10/19,GiveBloodNHS,140,23,1291,1084,"costa coffee isn't the only place you can get free drinks! 

if you're really committed to the free hot drink, or want to help out people in need, you are generally given one - as well as a biscuit - when you make a blood donation.  "
9,5/10/19,GiveBloodNHS,139,6,340,1257,"give blood. it’s dead easy, you can save up to 3 lives and you get biscuits. for free! win win i say. #blooduk @givebloodnhs #giveblood "
10,5/10/19,GiveBloodNHS,140,2,56,217,"first time giving blood today at the west end doner centre. really easy, with fantastic warm and welcoming staff @givebloodnhs "
11,5/10/19,GiveBloodNHS,116,1,2277,150,"another donation in the bank!
@givebloodnhs #giveblood "
12,5/10/19,GiveBloodNHS,128,1,23,225,"first time getting this text, definitely a cool thing to know! thanks @givebloodnhs "
13,5/10/19,GiveBloodNHS,121,0,319,1144,got the best text this afternoon😍😍 so glad i helped someone out @givebloodnhs 
14,5/10/19,GiveBloodNHS,140,0,161,266,"a pleasant surprise in the post today from @givebloodnhs. think i will try and get to 50 @ up to 4 donations a year, hopefully done before my 50th. 🚑🔬💉 "
15,4/10/19,GiveBloodNHS,115,1,82,405,just the ticket after donation number 30 #notallheroeswearcapes @givebloodnhs 
16,4/10/19,GiveBloodNHS,140,2,79,352,"another portion of bodily fluid donated. donation 28 with an iron level of 149, better than the 113 that meant i couldn’t donate for a year until i’d had plenty of beef portions!! come on everyone, get your arms out to keep our blood stocks up!! 💉 👍 @givebloodnhs #free #snacks "
17,4/10/19,GiveBloodNHS,140,1,395,432,love these little texts we get from @givebloodnhs so lovely to know you have been able to make a difference to someone 😊 
18,4/10/19,GiveBloodNHS,79,0,1360,953,not long to go for my next 💉 @givebloodnhs 
19,4/10/19,GiveBloodNHS,104,0,62,213,love getting these texts 😍 thank you #giveblood ⁦@givebloodnhs⁩ 
20,4/10/19,GiveBloodNHS,133,0,132,286,@givebloodnhs thank you for my new badge ❤️ #neoblood #oneg #everydonationcounts #giveblood 
21,4/10/19,GiveBloodNHS,89,0,265,254,i’m b-neg in case anyone needs some 💉 #giveblood 
22,4/10/19,GiveBloodNHS,140,0,53,199,"donation number 9 at kenburgh house in bradford, the nurses are the best... and the orange club and cup of tea is the icing on the cake..😊💖 #savinglifes #giftblood #giveblood @givebloodnhs "
23,4/10/19,GiveBloodNHS,140,11,789,314,gave my 10th blood donation yesterday. my blood has lots of antibodies for some reason so goes to neonates: 6 teeny tiny babies helped each time = 60+ babies total and a high feel-good factor = win-win #giveblood if you can 
24,4/10/19,GiveBloodNHS,82,1,109,195,had a good day in work. almost time to #giveblood @givebloodnhs 🙌🏻💉
25,4/10/19,GiveBloodNHS,140,1,2594,1394,"as some of you know i gave blood for the first time the other week, they just sent me this in the post. and my blood type is b positive. the most optimistic blood type out there 😆 #giveblood "
26,4/10/19,GiveBloodNHS,140,0,800,2138,lovely to know that my last donation has been put to good use in my old adoptive home town ❤️ @givebloodnhs #savealifegiveblood 
27,4/10/19,GiveBloodNHS,95,0,235,921,blood donation number 16 @givebloodnhs today #giveblood💉 
28,4/10/19,GiveBloodNHS,139,0,3881,3997,it seems my 82nd @givebloodnhs donation was issued to glenfield @leic_hospital #dosomethingamazing 
29,4/10/19,GiveBloodNHS,88,0,1866,1895,"best text message of today goes to...
@givebloodnhs "
30,4/10/19,GiveBloodNHS,114,3,289,1017,platelets and plasma donation - do what you can too #giveblood @givebloodnhs 
31,4/10/19,GiveBloodNHS,113,0,201,479,@givebloodnhs you are really spoiling us now!! tuc biscuits - yum yum 
32,4/10/19,GiveBloodNHS,112,0,59,196,@givebloodnhs that’s my pint done and the next appointment booked.... 👍🏻💉😊 
33,4/10/19,GiveBloodNHS,139,0,489,662,"my milestone donation was earlier in the year, finally made it back last night to start the donations to the next one!  @givebloodnhs #giveblood "
34,3/10/19,GiveBloodNHS,140,3,2706,2315,"dina asher smith is quick but... donating 470ml of blood in 5 mins 4 seconds is really quick for me! 🤣 

donation no. 27 done. 💪

it really doesn't take long to give blood! 

🅰️🅱️🆎🅾️♥️
@givebloodnhs
#savealifegiveblood "
35,3/10/19,GiveBloodNHS,139,1,451,552,this only means one thing 😍#giveblood @givebloodnhs very efficient service this evening at thorngate halls gosport and staff who appeared to love their jobs especially helen which is a great name obviously 😃 
36,3/10/19,GiveBloodNHS,116,1,29,344,thank you @givebloodnhs for the 25 free biscuits and the 50 free drinks 🍪☕🅾️- 
37,3/10/19,GiveBloodNHS,79,1,280,193,@givebloodnhs thanks for the badge 
38,3/10/19,GiveBloodNHS,118,0,1007,770,thanks for my present @givebloodnhs. in fairness you had me with an orange club 🍫 
39,3/10/19,GiveBloodNHS,140,0,99,377,"‘quick’ pint before the match 
a+ for choosing @givebloodnhs over attending @arsenal @ emirates tonight  
#chocolatecluboverfootballclub "
40,3/10/19,givebloodscot,140,2,2587,2724,giving my a+ blood donation today in #crieff great booking system and taken on time. always a lovely welcome from the @nhstayside #blooddonation team @givebloodscot please think about donating your blood &amp; be a #lifesaver 💖👌👍 
41,3/10/19,GiveBloodNHS,134,3,56,203,the best texts to receive 🥰 see you in jan ‘20 for donation no.39!  @givebloodnhs 💉 🏥👩‍⚕️ 
42,3/10/19,GiveBloodNHS,95,2,493,1163,number 77 done! #giveblood #savealife @givebloodnhs 
43,3/10/19,GiveBloodNHS,140,2,167,154,"less than an hour of your time, could provide years for your loved ones. 
shout to the lady who passed me the biscuits. played. 😂 @givebloodnhs #godonate "
44,3/10/19,GiveBloodNHS,139,3,215,442,"how cool is this!! i donated blood for the first time last month and even though i nearly fainted lol it was so worth it to know i might have saved someone’s life!
@givebloodnhs #positivity "
45,3/10/19,GiveBloodNHS,140,2,1362,2098,wow that was #superfast arrived at 1410 and ready leave at 1445 thx u @givebloodnhs what a love bunch of staff at @canterburycrick today 😁 
46,3/10/19,GiveBloodNHS,81,3,519,1471,the best texts to receive @givebloodnhs 
47,3/10/19,givebloodscot,140,11,204,410,"everyone going wild for a free costa- just so you know if you give blood you get a free cuppa and a biscuit 🍪👌🏽#dosomethingimportant
@givebloodscot #blooddonation"
48,3/10/19,GiveBloodNHS,139,26,96,78,people going wild for a free costa - just so you know if you @givebloodnhs you get a free cuppa and a biscuit and could save a life 🍪👌🏽#dosomethingimportant
49,3/10/19,GiveBloodNHS,90,0,144,724,@givebloodnhs  - love to get these texts! #giveblood 
50,3/10/19,GiveBloodNHS,124,2,1364,901,just got this in the post and i’m feeling mega proud of myself 🥰 @givebloodnhs ❤️ 
51,3/10/19,GiveBloodNHS,140,9,70,301,"there was a lot of chat yesterday around the free coffee from @costacoffee - well, who doesn’t love free coffee? just so you know you get free coffee &amp; biscuits every time you give blood (plus you get to save lives too) @givebloodnhs #freecoffee #justsaying "
52,3/10/19,GiveBloodNHS,140,0,149,0,"was a nice surprise to wake up to find out i’m a universal donor, makes it even easier to donate above already being easy @givebloodnhs "
53,2/10/19,GiveBloodNHS,144,19,175,141,"free costa’s are great but if you donate blood you get a free cuppa &amp; a biscuit ☕️🍪
@givebloodnhs 
#giveblood
#dosomethingimportant"
54,2/10/19,GiveBloodNHS,96,2,580,711,just booked my first donation @givebloodnhs 🙌 #giveblood 
55,2/10/19,GiveBloodNHS,139,4,19,118,"everyone going wild for a free @costacoffee ...just so you know, when you #giveblood you get a free cuppa and a biscuit #dosomething @givebloodnhs"
56,2/10/19,GiveBloodNHS,117,1,569,487,"quick stop off on the way home to @givebloodnhs, give the gift that counts "
57,2/10/19,GiveBloodNHS,108,0,21,110,@givebloodnhs this will be me after another 6 when i reach the big 💯 
58,2/10/19,GiveBloodNHS,140,8,1352,362,"blood donation today. 5:23min to give 1 pint, not having time to donate is no excuse. 40k more black donors of all blood types req to meet demands for better-matched blood &amp; a special subtype in black people. only 1% of people who give blood in england are black. @givebloodnhs "
59,2/10/19,GiveBloodNHS,140,5,129,166,"straight out of assistant manager training and into giving blood, another donation for our blood drive. i urge you, if you’re able to, please give blood ❤️ @givebloodnhs "
60,2/10/19,GiveBloodNHS,140,3,296,1031,"these are the best text messages ever. 
blood donation #75 off down south. 284 miles.  
every donation counts, please give blood if you can do. thanks @givebloodnhs for ensuring my donation saves or improves lives wherever it’s needed. "
61,2/10/19,GiveBloodNHS,140,1,292,172,pint #25! celebrated with two packets of crisps! thanks to the lovely staff at the west end donor centre @givebloodnhs  #giveblood 
62,2/10/19,GiveBloodNHS,140,0,38,175,"fab care at cambridge donor centre again... all wrapped up with a lovely cuppa and a pack of trusty ginger nuts @givebloodnhs
donation #30 in 12wks time 😳 "
63,2/10/19,GiveBloodNHS,109,0,64,334,very proud to receive this today ❤@givebloodnhs every donation counts ❤ 
64,2/10/19,GiveBloodNHS,140,0,195,418,"love getting these updates from @givebloodnhs - donation 59 safely issued, #giveblood #lookingforacentury "
65,2/10/19,GiveBloodNHS,140,11,142,189,"an article published showing the importance of black donors. and yes that is me and i'm so #proud to be a donor. #donateblood https://t.co/1ebkozxtsk
@givebloodnhs #bhm @blackhistory #blackhistorymonth #blacktwitter 
@sicklecelluk #blackdonors
 #supportblackbusiness"
66,1/10/19,GiveBloodNHS,140,1,1321,901,"feels good to have received this in the post today 😊
thank you to all blood donors 💪🙏

#giveblood

"
67,1/10/19,GiveBloodNHS,134,0,386,376,"and another pint is wending its way through the system to wherever it may be needed. 
#giveblood "
68,1/10/19,GiveBloodNHS,126,1,468,717,"another day, another pint of o+ making its way to the good people of the nhs. #giveblood "
69,1/10/19,GiveBloodNHS,140,0,535,274,"gold blooded, yo*

*actually platelets

the @leechedmhc shirt was not intentional but an apt choice!

if you can, #giveblood everyone!! 
@nhsbt @givebloodnhs "
70,1/10/19,GiveBloodNHS,131,0,455,847,"messages like this make  #blooddonation so rewarding ❤️

#giveblood #savelife @givebloodnhs "
71,1/10/19,GiveBloodNHS,140,0,653,237,"give blood, save a life!! ♥️
blessed to be able to give. especially us black people there are many sickle cell warriors waiting on us to donate. be a blood (life) giver @givebloodnhs ♥️ "
72,1/10/19,GiveBloodNHS,84,0,112,126,back to donating again #blooddonor #giveblood 
73,1/10/19,GiveBloodNHS,123,0,138,972,nice fresh blood from last week 🧛‍♀️ and a rare group too #giveblood @givebloodnhs 
74,1/10/19,GiveBloodNHS,119,2,843,1339,38th donation today ⁦@givebloodnhs⁩ #giveblood #blooddoner 12 off the first 50! 
75,1/10/19,GiveBloodNHS,139,4,784,764,really important piece in @bbcbreakfast on the need for increased @givebloodnhs donors. i’ve been a blood donor since i was in my early 20s....it’s a privilege to be able to gift someone life-saving ‘claret’. it’s totally painless and you get free tea &amp; biscuits!
76,1/10/19,GiveBloodNHS,140,1,141,213,an arm full!! my 50th donation today. #giveblood thank you to the wonderful @givebloodnhs sheffield donation centre. always get looked after. #badhairdayraining 
77,1/10/19,GiveBloodNHS,123,0,27,112,donated blood for the 5th time and got a new card! #blooddonation @givebloodnhs 
78,1/10/19,GiveBloodNHS,140,1,587,257,"donating blood for the first time just before christmas. i have type o neg which is the universal doner blood, meaning that everyone can can have my blood! you get some blood, you get some blood, everyone gets some blood 💉❤️ @givebloodnhs "
79,1/10/19,GiveBloodNHS,140,0,2513,960,"asked to come in to st george’s at short notice to donate my b rh neg platelets for someone in need. always happy to do so, hope it helps. 🤞🤞🤞@givebloodnhs "
80,1/10/19,GiveBloodNHS,140,6,368,1506,"thank you @bbcbreakfast for you great report on blood donation, literally cried the whole way through it! as a as ro subtype myself my @givebloodnhs donation helps people like the lady you featured. more ro donors are needed so thanks for highlighting 👏🏾"
81,30/9/19,GiveBloodNHS,140,0,353,676,"thanks for the certificate and badge @givebloodnhs, an unexpected surprise this evening! #giveblood "
82,30/9/19,GiveBloodNHS,140,0,230,204,"tomorrow is officially the start of #soberoctober
so what better way to kick it off than with a pint @givebloodnhs #giveblood #makemineapint "
83,30/9/19,GiveBloodNHS,93,1,127,302,first time giving blood 💉❤️ @givebloodnhs #giveblood 
84,30/9/19,GiveBloodNHS,140,2,327,942,"first successful blood donation in ages! be gone low hb levels, i have cast you out! 💉💪 @givebloodnhs 

given in loving memory as ever of my big brother bear william 12/12/1987 - 26/09/2013

#giveblood #savelives #payitforward #siblinglove "
85,30/9/19,GiveBloodNHS,110,3,654,438,"thank you @givebloodnhs, here’s to the next 💯 #giveblood #blooddonor "
86,30/9/19,GiveBloodNHS,139,3,46,446,"2nd time giving blood today @givebloodnhs ❤️❤️ 

🅱️➕

feel slightly ashamed that i didn’t start when i was younger but i will continue now to donate as often as i can ❤️❤️ "
87,30/9/19,GiveBloodNHS,90,2,181,138,"not difficult so if you can, go do it! @givebloodnhs "
88,30/9/19,GiveBloodNHS,140,3,5882,788,"damn i love giving blood anyway and now they’re making me feel like some kind of vip with this first responders business, i love you @givebloodnhs "
89,30/9/19,GiveBloodNHS,128,1,1340,663,my favourite kind of text message ❤️💉 #giveblood #manchester @givebloodnhs @nhsbt @mft_mri 
90,30/9/19,GiveBloodNHS,138,0,609,960,"yes, folks, it's that time - donation number 29 for me. please book an appointment to give blood if you can! #giveblood 
@givebloodnhs @givebloodscot "
91,30/9/19,givebloodscot,125,1,399,573,it’s be too long since last one but blood donation for @givebloodscot number 60 done ✅ 
92,30/9/19,GiveBloodNHS,112,2,65,157,"it's that time again @givebloodnhs 💉☕🍫
#dosomethingamazing #giveblood "
93,30/9/19,GiveBloodNHS,106,1,54,224,@givebloodnhs texts like this make it all worth it 💉 #giveblood 
94,30/9/19,GiveBloodNHS,140,1,68,400,"best text i've ever received! so happy my blood went to great ormond street 🥰😊😊 
@givebloodnhs #blooddonation #givebloodsavelives "
95,30/9/19,GiveBloodNHS,84,1,455,1185,love this text @givebloodnhs #blooddonor 
96,30/9/19,GiveBloodNHS,135,1,285,97,my 97th @givebloodnhs donation has travelled to bath....love getting these texts #giftblood ❣ 
97,29/9/19,GiveBloodNHS,140,0,1242,2878,"it's that time again when i get to part with a little bit of blood to try and help to #savelives.
thanks to the team at #liverpooldonorcentre for finding my impossible vein, being lovely, friendly &amp; giving me coffee afterwards.
do you #giveblood regularly? "
98,29/9/19,GiveBloodNHS,140,0,462,966,big c’s 3rd time donation saving lives @givebloodnhs staff were fab as per 💪🏻💪🏻😍😍 #giveblood #nhs #savinglives 
99,29/9/19,GiveBloodNHS,119,1,3240,3651,"not trying to show off, only hoping others find inspiration to #giveblood too. "
100,29/9/19,GiveBloodNHS,133,0,702,590,@givebloodnhs 10th donation badge and certificate and a nice text to say my blood was used 🥰💉 
101,29/9/19,GiveBloodNHS,140,0,60,377,obligatory donation post - number 6️⃣ why wouldn't i brag? it's not like you can pop down to tesco to buy the stuff. i'm a lifesaving hero 💪💉@givebloodnhs #giveblood 
102,28/9/19,GiveBloodNHS,140,0,156,224,i have been waiting for this text. it means so much to know where my donation ended up. thank you @givebloodnhs you do a wonderful job! #savealife #giveblood 
103,28/9/19,GiveBloodNHS,140,2,439,448,i did it! 😁 my first of many blood donations! ❤️💉 i'm sooo proud of myself! it was such a good fun morning! cannot wait to donate again 🥰 @givebloodnhs 
104,28/9/19,GiveBloodNHS,140,0,602,663,been waiting for this moment! 😁 thank you @givebloodnhs for my shiny new card! here's to many more! ❤️🤞🏻 
105,28/9/19,GiveBloodNHS,92,0,632,695,love seeing where my blood ends up!! ❤️💉 @givebloodnhs 
106,28/9/19,GiveBloodNHS,88,0,307,614,proud to be a blood donor with @givebloodnhs 
107,28/9/19,GiveBloodNHS,114,0,156,344,thank you @givebloodnhs for the lovely package this morning! ❤️ #giveblood 
108,28/9/19,GiveBloodNHS,99,0,225,371,"certificate n everything

thanks @givebloodnhs #giveblood "
109,28/9/19,GiveBloodNHS,115,3,2168,1217,second time giving blood today in honour of #sicklecellawarenessmonth @givebloodnhs @hersickledj 🙏🏾❤️
110,28/9/19,GiveBloodNHS,140,0,631,897,"inspired by @simonthomassky, i donated blood today at @givebloodnhs. pain free and easy. staff were lovely, plus free chocolate and treats afterwards!!! i'll never know for sure, but i may just have saved a life. so tell me - why would you not sign up?? "
111,28/9/19,GiveBloodNHS,140,0,68,339,"you asked, i responded! still a few more pints to give before i have given as much as my son received  @givebloodnhs #giveblood #childhoodcancerawarenessmonth #childhoodcancer "
112,27/9/19,GiveBloodNHS,140,1,488,677,"donation 1️⃣✅
now booked in for number 2️⃣! 
feel so empowered and proud of myself (as someone who is terrified of needles!) 
@givebloodnhs #givebloodsavealife #giveblood "
113,27/9/19,GiveBloodNHS,104,0,67,172,"@britishpoles @givebloodnhs 
blood donated for the eleventh time 💉 "
114,27/9/19,GiveBloodNHS,140,1,220,351,thank you @givebloodnhs this has made my day coming back to this! onwards now to the next milestone.... 
115,27/9/19,GiveBloodNHS,109,0,106,75,"this is the best christmas present i can give.
#savealife 
#giveblood "
116,27/9/19,GiveBloodNHS,111,0,650,485,@givebloodnhs can i just say the staff at the bradford donor centre we’re amazing. #giveblood
117,27/9/19,GiveBloodNHS,87,0,211,386,got me a window seat! #nhs #giveblood #donate 
118,27/9/19,GiveBloodNHS,80,2,1464,1557,@givebloodnhs giving blood #savinglives 
119,27/9/19,GiveBloodNHS,139,4,149,524,"@givebloodnhs my first donation of blood today, was emotional but i’m glad i did it, my friend is coming with me next time it will be her first time #blood #donation #birmingham #transfusion 😃 "
120,27/9/19,GiveBloodNHS,139,2,4507,2125,"psa: you can give blood if you have sickle cell trait (like me) - so do it!

the nhs still needs thousands more black and mixed donors: "
121,27/9/19,GiveBloodNHS,79,1,165,338,@givebloodnhs i go for the food lol 
122,27/9/19,GiveBloodNHS,115,1,83,286,proud to have donated my 25th pint of blood.  thank you @givebloodnhs ❤️ 
